Name,review,Sentiment
"Lava O1 (Prism Blue, 4GB RAM, 64GB Storage) | 18W Fast Charging | Octa Core Unisoc T606 | 13 MP AI","bloatware free , fast charging , standard speed good value for money , overall worth buying .......lets see what will be its longevity",Positive Review
Amazon Customer,Awesome phone in this range.,Positive Review
Amazon Customer,Narmal users phone made in India,Positive Review
kallol deb,Missing charger,Positive Review
Sameer shaikh,Cheap and Best,Negative Review
ASHISH KUMAR,"ProsIts display and it's touch panels,Digit display for callingSound qualityConsMany app does not work properly like sony liv, mstock, decathlon etcbattery support not enough as mention camera below average",Negative Review
ASHISH KUMAR,guys ap ye mobile le sakte ho es prize range me china fone bahut bekaar hote hai q ki china mobile me ad and blotware aate hai but lava mobile ek dum clean hai bahut hi badiya mobile hai maine apne papa ko ye mobile diya hai bahut khush hai mera papa es mobile se thank you amazon and lava mobile,Negative Review
Ajay,Very good in performance,Positive Review
ASIAN Shoes Wonder-13 Grey Firozi Mesh Shoes,"As an avid runner who values both style and functionality in athletic footwear, the ASIAN Men's Wonder-13 Sports Running Shoes have truly exceeded my expectations.**Comfort and Fit: ⭐⭐⭐⭐⭐**The first thing that struck me about these shoes was their exceptional comfort. The cushioning provided excellent support for my feet, reducing fatigue during long runs. The snug yet breathable fit hugged my feet perfectly, allowing ample room for movement without compromising stability.**Design and Durability: ⭐⭐⭐⭐⭐**The sleek design of these shoes instantly caught my eye. The combination of vibrant colors and a modern, streamlined look makes them stand out. Moreover, the build quality and materials used indicate durability, holding up well even after rigorous use on various terrains.**Performance and Traction: ⭐⭐⭐⭐⭐**The performance of these shoes is where they truly shine. The soles provide remarkable traction, offering a secure grip on both pavement and trails. Whether sprinting or jogging, I felt confident in my footing, thanks to the excellent traction and stability these shoes provide.**Versatility: ⭐⭐⭐⭐⭐**Beyond just running, these shoes are versatile enough for other activities. I've used them for workouts at the gym, casual walks, and they've proven to be reliable and adaptable to different environments.**Value for Money: ⭐⭐⭐⭐⭐**Considering their quality, performance, and comfort, these shoes offer incredible value for money. They compete admirably with much higher-priced brands without compromising on quality or style.**Final Thoughts:**In summary, the ASIAN Men's Wonder-13 Sports Running Shoes are a fantastic choice for runners seeking comfort, performance, and style. From their comfortable fit to their durability and excellent traction, these shoes have become my go-to option for all my athletic activities. I highly recommend them to anyone in search of high-quality sports shoes that deliver on every front.",Positive Review
Amazon Customer,"These are nice sports shoes. Are quite comfortable , light weight and look good. Overall a satisfactory product.",Positive Review
Amazon Customer,Very good product. LastingComfortableValue for money,Positive Review
pranav DAMANI,"The ASIAN Men's Wonder-13 Sports Running Shoes offer a middle-of-the-road experience. While their design is visually appealing with a variety of color options, the overall build quality is average. The comfort level is decent for short runs, but extended use may lack the premium cushioning found in higher-end athletic shoes. The breathability is satisfactory, and the anti-skid sole provides a sense of stability. However, for serious runners or those seeking advanced features, these shoes might fall short. ASIAN Wonder-13 Sports Running Shoes are a reasonable choice for casual use, but those with specific athletic requirements may want to explore other options.",Positive Review
Nitesh,The sole of the shoe was very intact and comfortable. It also has good grip and the colour was same as shown. I really recommend it worth buying and it has fulfilling features worth it's price.,Negative Review
Krishnamoorthy,"Such a good product. So such a quality product for such a reasonable rate, it's good. Really. There are morethan a good number already brought this product, so you know it's something good. Expectation never disappointed.",Positive Review
Dharmesh Tolia,Literally these are very good. I'm posting this review after 2 years and shoes are still in good condition. I have got then for Rs.499,Positive Review
Pravin Kumar singh,"Nice fitting ,but stitching is lose somewhere, overall good",Positive Review
Shining Diva Fashion Latest Stylish Butterfly Jewellery Necklace Set for Women,Worth your money...All of the pieces are great and so beautifulBest for friends and memories,Negative Review
Amazon Customer,All five pendants are very nice.Money is also not charged much.Good for gift and also good for yourself.I liked it very much.everyone is very beautiful,Positive Review
Amazon Customer,I ordered these for my sister and these were quite good for the price and looks exactly as in pictures. The colours are good and looks good. I was a little skeptical about these but they are good. Totally recommended.,Negative Review
Placeholder,Cute but only one time use,Positive Review
Placeholder,"Worth for the price , nice product , same as shown in the picture",Positive Review
Molikta,I really love this product. The butterfly looks very elegant and aesthetic. The necklace itself is very beautiful. Worth the price 😄,Positive Review
Aakansh Garg,"The colour faded in one use, the chain irritates the skin, not good don’t get scammed",Positive Review
Anuj Rattan,The media could not be loaded. The butterfly necklace is very nice and cute 🥰 I like it but the butterfly locket has small small scratches.. but good product in my opinion 🙂,Positive Review
Ring Size Adjuster for Loose Rings Glod,Awesome product,Positive Review
Amazon Customer,Nice product to use if you really want to tight you loose rings,Negative Review
Amazon Customer,"It works both rings me and my wife perfectly, nice quality and worth to buy",Negative Review
Asima,"Looks little expensive for just 4 coils, but they work like magic if you love wearing rings and want to fit it into different fingers. Some rings will fit well in certain fingers, but not on others, these coil helps to resize and adjust .It’s practically invisible, unless u point and focus on it. I wrapped it around a brass ring and works seamless !!It is uncomfortable for a few hours , but u get used to it. But take note , if u use hand creams, it will settle down inbetween the coil spaces, but super easy to clean it off while washing your hands.Over all useful product if you love finger rings !!",Negative Review
vishesh GAMER,Quality is good but not justify the cost.It should not be cost more than 50 Rs in anyhow.,Positive Review
vishesh GAMER,Very useful product.i like it.perfect fit for loose ring.thank you.,Positive Review
Amazon Customer,"It is maid by rubber. Like spring. It is helping for ring adjustment. We can cut this spring, as much we need. I am very happy about this product.instead of thread, we can use this.it is transparent and golden colour. So it not appear like bad. It is very useful for rings lover.",Positive Review
Bharath Sivaraman,Nice product worth the price. Easy to use.,Positive Review
"4 PCS Pant Waist Tightener, Adjustable Waist Buckle Set,",Product is really nice and same as shown in the picture but there was no guide on how to assemble it... Watched youtube video to use it... Without any proper guide page I was really confused. By the way... The product is awesome ❤️,Negative Review
Amazon Customer,I received only two pairs even after replacing the product,Negative Review
"TECNO POP 8 (Mystery White,(8GB*+64GB)|90Hz Punch Hole Display with Dynamic Port & Dual Speakers","I like this is mobile, this mobile desgin is very good, camera quality is too good, back side look is very cool & fabulous, bettery performence is very good, sound quality is also very good. This mobile touch Working very smooth. Value of money.",Positive Review
Amazon Customer,The phone is very good.I prefer to buy this phone. Low Budget excellent phone.Large Display size and smooth task finishing..Good Battery backupAmazing Sound quality with dual SpeakersFast charging with type c Charger.,Positive Review
Amazon Customer,Good mobile for daily uses and good looking,Negative Review
Amazon Customer,The media could not be loaded. I received phone yesterday nightCamera average don't expect much @5850Touch very smooth and fastDisplay is very nice no issue in day light alsoVoice is not 400% much louder as told but good and clear voice supportBattery backup is awesomeSturdy bodyGood memory RAM and ROM in this price rangeI don't play game so not familiar with game issueCharging speed is average not so fast but good enoughValue for money productThe best thing is that we are supporting our Indian company tecnoVocal for localHope will see some another super smartphone from tecno to enhance indigenizationThanks amazon thanks tecno,Positive Review
satyaveersingh,"I like this is mobile, camera quality is too good, back side look is very cool & fabulous, sound quality is also very good. This mobile touch Working very smooth. Value of money",Positive Review
AslamAli,"Thrilled with my purchase of the TECNO POP 8 Gravity Black! The 8GB RAM and 64GB storage deliver impressive performance and ample space for all my apps and files. The 90Hz Punch Hole Display is a visual delight, providing smooth and vibrant visuals. The 5000mAh battery ensures long-lasting use, and the 10W Type-C charging is a convenient feature.The dual speakers with DTS offer an immersive audio experience, and the side fingerprint sensor adds an extra layer of security. The Octa-Core Processor delivers snappy performance across applications. Overall, a fantastic device that exceeds expectations. Highly recommend for those looking for a feature-packed and reliable smartphone.",Negative Review
Ankit Chaturvedi,Overall good phone this price range. But ye Jo halla Macha rakha 400% louder than other phone... Aisa kuch nhi hai low volume this phone. 😮‍💨😮‍💨 Dusre phone ki Tarah hi Awaaz hai isai bhi. Mere pass Redmi note 11 hai Dual stereo speker me Uski volume Tecno pop 8 se bahut jyada Louder hai. Bus yahi kami hai baarish sab thik thaak hai.,Positive Review
Shivam pandey,Excellent product for this price range. Battery life and connectivity is good. It has minimum bloatware and there is no unwanted applications. Camera quality is good for this price. Sound quality can be little more improved. Eyecare feature seems to be very interesting which reduces our eyestrain and also beneficial to children's eyes when using the mobile. It has overall meet my expectations. Thank you Techno POP 8!!,Positive Review
Oppo F23 5G,Good product,Negative Review
Amazon Customer,PHONE IS JUST GOODITS SELFIE CAMERA IS VERY DISAPPOINTING,Negative Review
Amazon Customer,"this is best mobile in this price range , fo for it friends, till now, this mobile working well no issue thanks maker.",Negative Review
Heney Shah,After use of 06 months my opinion is Very bad phone due to incoming and outgoing sound problem 😕 and also HANG,Negative Review
Anant kumar,"OPPO F23 5G (Bold Gold, 8GB RAM, 256GB Storage) | 5000 mAh Battery with 67W excellent product , fast charging , seamless transfer from one phone to another . Good Pic and Sound Quality Worth Buying .",Negative Review
lalit,battery drain very fast,Negative Review
Chulhai Rai,Good product,Negative Review
Placeholder,"Overall good phone.Microscope camera capability is very good.My kids liked the microscope camera alot. Camera quality with 2X zoom is very good.Finger print Sensor is at power button. Which was hard a bit to find out and always Google Assistant comes up when we need restart. We need to disable Google Assistant in the settings for power button.Liked alot on theme store. Lot of themes available. Got this for a good deal with earlier phone in exchange. No lag observed. No over heating observed. Battery capacity is good. Speakers are good with extra volume.Overall good product, got it today morning and happy with the purchase. Will updatey review after few days. My previous phone Oppo F11 pro worked for 4 years with no issues and with no physical damage happened to the phone. So I upgraded to the same brand.",Negative Review
Oppo F23 5G,Good product,Negative Review
Amazon Customer,PHONE IS JUST GOODITS SELFIE CAMERA IS VERY DISAPPOINTING,Positive Review
Amazon Customer,"this is best mobile in this price range , fo for it friends, till now, this mobile working well no issue thanks maker.",Negative Review
Heney Shah,After use of 06 months my opinion is Very bad phone due to incoming and outgoing sound problem 😕 and also HANG,Positive Review
Anant kumar,"OPPO F23 5G (Bold Gold, 8GB RAM, 256GB Storage) | 5000 mAh Battery with 67W excellent product , fast charging , seamless transfer from one phone to another . Good Pic and Sound Quality Worth Buying .",Negative Review
lalit,battery drain very fast,Negative Review
Chulhai Rai,Good product,Negative Review
Placeholder,"Overall good phone.Microscope camera capability is very good.My kids liked the microscope camera alot. Camera quality with 2X zoom is very good.Finger print Sensor is at power button. Which was hard a bit to find out and always Google Assistant comes up when we need restart. We need to disable Google Assistant in the settings for power button.Liked alot on theme store. Lot of themes available. Got this for a good deal with earlier phone in exchange. No lag observed. No over heating observed. Battery capacity is good. Speakers are good with extra volume.Overall good product, got it today morning and happy with the purchase. Will updatey review after few days. My previous phone Oppo F11 pro worked for 4 years with no issues and with no physical damage happened to the phone. So I upgraded to the same brand.",Negative Review
Oppo F23 5G,Good product,Positive Review
Amazon Customer,PHONE IS JUST GOODITS SELFIE CAMERA IS VERY DISAPPOINTING,Negative Review
Amazon Customer,"this is best mobile in this price range , fo for it friends, till now, this mobile working well no issue thanks maker.",Positive Review
Heney Shah,After use of 06 months my opinion is Very bad phone due to incoming and outgoing sound problem 😕 and also HANG,Negative Review
Anant kumar,"OPPO F23 5G (Bold Gold, 8GB RAM, 256GB Storage) | 5000 mAh Battery with 67W excellent product , fast charging , seamless transfer from one phone to another . Good Pic and Sound Quality Worth Buying .",Positive Review
lalit,battery drain very fast,Positive Review
Chulhai Rai,Good product,Positive Review
Placeholder,"Overall good phone.Microscope camera capability is very good.My kids liked the microscope camera alot. Camera quality with 2X zoom is very good.Finger print Sensor is at power button. Which was hard a bit to find out and always Google Assistant comes up when we need restart. We need to disable Google Assistant in the settings for power button.Liked alot on theme store. Lot of themes available. Got this for a good deal with earlier phone in exchange. No lag observed. No over heating observed. Battery capacity is good. Speakers are good with extra volume.Overall good product, got it today morning and happy with the purchase. Will updatey review after few days. My previous phone Oppo F11 pro worked for 4 years with no issues and with no physical damage happened to the phone. So I upgraded to the same brand.",Positive Review
Amazon Customer,"The media could not be loaded. Very nice product,it is perfectly adjustable",Positive Review
Amazon Customer,Very useful and comfortable.,Positive Review
Mehatab s,Easy to use,Positive Review
Mehatab s,It's a good quality ring size adjuster for plus size loose fitting finger rings. Product was quickly delivered with different sizes of silicon coils that can be easily mounted on different rings as per the size. Smart product.,Positive Review
SP,It's perfect and nice,Positive Review
SP,"It is good for use, actually that extender which I am looking for for my gold ring",Negative Review
Amazon Customer,Fitting is best,Positive Review
Amazon Customer,Performance Quality Ease of use Adjustability is also great 👍🏻,Positive Review
Ear and Neck Strap,Best product that saves all my precious glasses. Let it be with the one having power or sunglasses. Best product. Very very happy.,Positive Review
Amazon Customer,Always best item,Positive Review
Amazon Customer,Very useful for people wearing glasses. Works well while on beach or playing.,Positive Review
Kindle Customer,"Terrific purchase, very useful product. It really gives very good grip to your specs and save you from big hassle of handling slipping specs.",Negative Review
Jitendra,It got loose after only one use. I hope for good but not fully satisfied.,Positive Review
Piyush Tripathi,Good product,Positive Review
Priyanka,"So wonderful, good grips",Positive Review
Aditya Negi,Feel comfortable... Almost fit for all spectacles.. Frame,Positive Review
Mask chain Multy Pearl,"I love the lanyard. It can be used with mask and they have provided hooks, so it could be uaed with goggles as well. The beads are colorful and amazing qualitu, so can wear as bracelet as well. The surprise was that this lanyard was accompanied with a very cute mask. Must go for this product.",Positive Review
Amazon Customer,"Had ordered it for a family member just ten days back and liked the style n that I received a mask along with it. So I ordered it again for myself but didn't receive any mask this time which is a bit downer as it shows brand inconsistency as this second order was within the span of just 10 days.But otherwise the product is cute and stylish, comes in a good packaging. If only the price could have been a little less, that would have been better. Durability will have to be tested with time.",Positive Review
Amazon Customer,"I did not like the product, the quality is ok but the length is less :(Anyways I’m using it :(",Negative Review
Bishneet Kaur,"Looks pretty and comes in a case. Got a black mask along wid it. Happy Wid the purchase, worth buying 👍🏻",Positive Review
Bishneet Kaur,"The beads are tiny..And the length is less ...Consider increasing the size of the beads a bit and the length, and it will be worth buyingUpdate------ it broke off maybe aftr just 30-40 times that I must have used it ......too flimsy ....avoid buying please. You will get it cheaper at your local shop",Positive Review
Amazon Customer,Just a week of use as yet. Good product.,Positive Review
Sunitha,The length of the chain is very short...and beads are cheap quality,Negative Review
Yasa Dusu,Good and colourful,Positive Review
GoSriKi Women's Rayon Blend Straight Printed Kurta with Pant & Dupatta,Very beautiful outfit fabric Is awesome and fitting is perfect .very comfortable to wear and value for money also.,Positive Review
Amazon Customer,"Lovely suit at a very good price , stitching is good , got XL size , fits beautifully, material is soft and comfortable, pant and dupatta is good , the gota on the dupatta is flimsy, may rip off , Don’t know how it will be after wash , will try dry cleaning the first time .Happy with my purchase.",Positive Review
Amazon Customer,"Overall it's ok, but I am not happy with material. And colour is so vibrant but overall it looks cheap.",Negative Review
jay t.,Beautiful product nice fabric quality and good colour combination,Positive Review
jay t.,Febric is so soft n nice... Fitting is good ... Must buy product at this price,Positive Review
Ragini,Fabric quality is good and looks perfect,Negative Review
Richa Tripathi (happyshappymom),It is too good and perfect and delivery is very short time,Positive Review
Shivansh,Top is very nice and breathable also good for summer.eveything nice but pant was little tight and dupatta colour is little different...,Positive Review
Ring Size Adjuster for Loose Rings Glod,Good productExactly as describedUsefull too,Positive Review
Amazon Customer,"It is maid by rubber. Like spring. It is helping for ring adjustment. We can cut this spring, as much we need. I am very happy about this product.instead of thread, we can use this.it is transparent and golden colour. So it not appear like bad. It is very useful for rings lover.",Positive Review
Amazon Customer,"Looks little expensive for just 4 coils, but they work like magic if you love wearing rings and want to fit it into different fingers. Some rings will fit well in certain fingers, but not on others, these coil helps to resize and adjust .It’s practically invisible, unless u point and focus on it. I wrapped it around a brass ring and works seamless !!It is uncomfortable for a few hours , but u get used to it. But take note , if u use hand creams, it will settle down inbetween the coil spaces, but super easy to clean it off while washing your hands.Over all useful product if you love finger rings !!",Negative Review
Gr8,"These ring adjusters have been a greatest purchase, earlier I use to wrap threads or tape around my ring so it will fit and those were very uncomfortable, but these ring adjusters have made it so much more easier for me to wear my favorite ring without being uncomfortable.",Positive Review
Mahizhan,"Not useful if you remove and wear the ring on a daily basis. The adjuster comes off. Possibly may be useful, if the ring is worn permanently and not removed",Negative Review
Mahizhan,Wonderful option to tighten rings without alteration...different size adjustments according to the rings...liked it very much..,Positive Review
Bharath Sivaraman,easy to use n to even remove if not needed,Negative Review
Bharath Sivaraman,I like the product,Positive Review
"Storite 2 Pack Moisture Proof Nylon Large Size Underbed Storage Bag (54 x 46 x 28 cm) - Black, Re...",The bags are very sturdy and have excellent storage space,Positive Review
Amazon Customer,Great product !!! Strong and sturdy. Very useful if you are going for a long journey by vehicle and you have too much stuff to carry as it helps to save the car boot space and at home it is also very useful to organize things as well.,Positive Review
Amazon Customer,I bought the 8 pack. It is definitely worth the price. These bags are very capacious and reasonably strong. Made of good material and handles. Very very useful for moving or shifting houses. You can even note the contents of each bag with a marker on the ref patch.,Positive Review
jotinder,"This bags helps to pack and settle things, good quality and big in size",Positive Review
Vikas Kumar,"It does not come with collapsible support frame inside like other storages do.Gets clumsy in handling once filled with sheets,blankets etc.as it tends to lose it's shape...material is good,but disappointed on the lack of framework inside",Negative Review
Lina,"Perfect use of the large durable bags. Filled them with my winter clothes. These are pretty large as I have also fitted my 2 double bed wollen blankets + plus 2 small size wollen blankets in a single bag. Would recommend to anyone looking to store clothes, blankets. 👍🏻",Positive Review
vinoth,Quality & durability need some improvement.,Positive Review
Kalindi Rindani,"It's really worthy, having alot of space in it.",Positive Review
Nipun P.,Nice thick materials... huge bags... I was able to fit my 22 ouart roaster in one and it has room for more... the pictures really don't do it Justice!! I Love these bags!!! Will be buying more!!!,Positive Review
